time,number_of_points,number_of_buckets,range_of_numbers,number_of_threads
0.429758,1000000,4,100,1
0.220573,1000000,4,100,2
0.223041,1000000,4,100,3
0.120411,1000000,4,100,4
0.441325,1000000,4,1000,1
0.226556,1000000,4,1000,2
0.227559,1000000,4,1000,3
0.122958,1000000,4,1000,4
0.454563,1000000,4,10000,1
0.231126,1000000,4,10000,2
0.235292,1000000,4,10000,3
0.126423,1000000,4,10000,4
0.65,1000000,20,100,1
0.326563,1000000,20,100,2
0.229647,1000000,20,100,3
0.164853,1000000,20,100,4
0.66329,1000000,20,1000,1
0.33313,1000000,20,1000,2
0.23472,1000000,20,1000,3
0.168421,1000000,20,1000,4
0.677213,1000000,20,10000,1
0.339658,1000000,20,10000,2
0.23784,1000000,20,10000,3
0.171183,1000000,20,10000,4
0.917511,1000000,40,100,1
0.460083,1000000,40,100,2
0.320706,1000000,40,100,3
0.230972,1000000,40,100,4
0.975331,1000000,40,1000,1
0.489211,1000000,40,1000,2
0.340968,1000000,40,1000,3
0.245658,1000000,40,1000,4
0.987258,1000000,40,10000,1
0.49594,1000000,40,10000,2
0.344349,1000000,40,10000,3
0.249571,1000000,40,10000,4
4.91222,10000000,4,100,1
2.5091,10000000,4,100,2
2.53041,10000000,4,100,3
1.35125,10000000,4,100,4
5.02509,10000000,4,1000,1
2.56106,10000000,4,1000,2
2.58742,10000000,4,1000,3
1.38309,10000000,4,1000,4
5.10686,10000000,4,10000,1
2.60344,10000000,4,10000,2
2.62603,10000000,4,10000,3
1.39584,10000000,4,10000,4
7.15067,10000000,20,100,1
3.57308,10000000,20,100,2
2.50317,10000000,20,100,3
1.78876,10000000,20,100,4
7.26127,10000000,20,1000,1
3.62073,10000000,20,1000,2
2.53729,10000000,20,1000,3
1.81515,10000000,20,1000,4
7.33623,10000000,20,10000,1
3.66769,10000000,20,10000,2
2.57188,10000000,20,10000,3
1.83813,10000000,20,10000,4
9.72801,10000000,40,100,1
4.82462,10000000,40,100,2
3.36825,10000000,40,100,3
2.40099,10000000,40,100,4
10.4445,10000000,40,1000,1
5.17863,10000000,40,1000,2
3.61712,10000000,40,1000,3
2.58962,10000000,40,1000,4
10.5217,10000000,40,10000,1
5.22531,10000000,40,10000,2
3.64381,10000000,40,10000,3
2.61549,10000000,40,10000,4
