time,number_of_points,number_of_buckets,range_of_numbers,number_of_threads
0.430134,1000000,4,100,1
0.457164,1000000,4,100,2
0.705367,1000000,4,100,3
0.516455,1000000,4,100,4
0.441855,1000000,4,1000,1
0.469585,1000000,4,1000,2
0.728015,1000000,4,1000,3
0.520944,1000000,4,1000,4
0.453382,1000000,4,10000,1
0.482217,1000000,4,10000,2
0.750127,1000000,4,10000,3
0.527446,1000000,4,10000,4
0.650507,1000000,20,100,1
0.674882,1000000,20,100,2
0.721019,1000000,20,100,3
0.698066,1000000,20,100,4
0.66132,1000000,20,1000,1
0.686127,1000000,20,1000,2
0.729946,1000000,20,1000,3
0.709088,1000000,20,1000,4
0.675438,1000000,20,10000,1
0.696785,1000000,20,10000,2
0.740598,1000000,20,10000,3
0.717103,1000000,20,10000,4
0.917882,1000000,40,100,1
0.938405,1000000,40,100,2
0.984292,1000000,40,100,3
0.956526,1000000,40,100,4
0.974708,1000000,40,1000,1
1.00006,1000000,40,1000,2
1.05121,1000000,40,1000,3
1.02393,1000000,40,1000,4
0.988032,1000000,40,10000,1
1.00916,1000000,40,10000,2
1.06098,1000000,40,10000,3
1.03163,1000000,40,10000,4
4.91815,10000000,4,100,1
5.22283,10000000,4,100,2
8.07492,10000000,4,100,3
5.76282,10000000,4,100,4
5.0216,10000000,4,1000,1
5.30549,10000000,4,1000,2
8.21203,10000000,4,1000,3
5.83669,10000000,4,1000,4
5.11799,10000000,4,10000,1
5.3732,10000000,4,10000,2
8.26696,10000000,4,10000,3
5.97929,10000000,4,10000,4
7.17135,10000000,20,100,1
7.32178,10000000,20,100,2
7.89154,10000000,20,100,3
7.54891,10000000,20,100,4
7.25278,10000000,20,1000,1
7.43387,10000000,20,1000,2
8.00186,10000000,20,1000,3
7.66994,10000000,20,1000,4
7.34189,10000000,20,10000,1
7.51491,10000000,20,10000,2
8.07774,10000000,20,10000,3
7.74929,10000000,20,10000,4
9.73299,10000000,40,100,1
9.79726,10000000,40,100,2
10.5375,10000000,40,100,3
9.92144,10000000,40,100,4
10.4274,10000000,40,1000,1
10.5511,10000000,40,1000,2
11.3142,10000000,40,1000,3
10.7525,10000000,40,1000,4
10.524,10000000,40,10000,1
10.6241,10000000,40,10000,2
11.3653,10000000,40,10000,3
10.8164,10000000,40,10000,4
